#,Subject,Tracker,Status,Priority,Resolution,Created,Target version
20383,Setup Staging server,Task,New,Normal,"",11/01/2017 07:22,""
20363,Scrape data from Razorgator,Task,Assigned,Normal,"",10/01/2017 11:47,Jan 2017
20362,Scrape data from Concert With Me,Task,Assigned,Normal,"",10/01/2017 11:45,Jan 2017
20335,Scrape data from Ticketcity,Feature,To be merged,Normal,,09/01/2017 11:09,Jan 2017
20334,Scrape data from Denver.com,Feature,To be merged,Normal,,09/01/2017 11:07,Jan 2017
20333,Scrape data from City Music Collective,Feature,To be merged,Normal,,09/01/2017 11:00,Jan 2017
20308,Collections Website Not Working,Bug,To be validated,High,,05/01/2017 21:21,Jan 2017
20293,New Feed - Tickeri,Task,Resolved,Normal,"",05/01/2017 04:00,Jan 2017
20292,Viagogo Brazil Data Feed,Task,Resolved,Normal,"",04/01/2017 23:59,Jan 2017
20274,Finding end point for Denver city,Feature,To be validated,Normal,,04/01/2017 11:19,Jan 2017
